Date,Time,Source,Top_5_Terms,Frequencies,Total_Freq_Sum,Comment
2026-02-05,Evening: 21:05:36,BBC,"epstein, files, six, end, russia","11, 7, 5, 4, 4",31,
2026-02-05,Evening: 21:05:36,CNBC,"stock, stocks, software, jim, market","7, 4, 3, 3, 3",20,
2026-02-06,Morning: 08:32:39,BBC,"epstein, guthries, finds, hotel, government","5, 4, 4, 4, 4",21,
2026-02-06,Morning: 08:32:39,CNBC,"stocks, market, software, amazon, billion","6, 5, 4, 4, 3",22,
2026-02-06,Day: 13:35:06,BBC,"winter, olympics, epstein, trump, files","8, 7, 7, 6, 6",34,
2026-02-06,Day: 13:35:06,CNBC,"stocks, amazon, billion, spending, software","6, 5, 4, 3, 3",21,
2026-02-07,Morning: 08:00:49,BBC,"winter, olympics, trump, epstein, home","9, 9, 8, 8, 6",40,
2026-02-07,Morning: 08:00:49,CNBC,"amazon, market, spending, stock, trump","5, 5, 4, 4, 4",22,
2026-02-07,Day: 15:05:40,BBC,"winter, olympics, trump, epstein, follow","12, 12, 8, 7, 6",45,
2026-02-07,Day: 15:05:40,CNBC,"amazon, market, media, spending, stock","5, 5, 4, 4, 4",22,
2026-02-07,Evening: 18:59:26,BBC,"winter, olympics, follow, trump, epstein","12, 12, 6, 6, 6",42,
2026-02-07,Evening: 18:59:26,CNBC,"stocks, media, spending, stock, market","4, 4, 4, 3, 3",18,
2026-02-08,Day: 16:17:14,BBC,"winter, olympics, vonn, downhill, city","11, 11, 6, 6, 6",40,
2026-02-08,Day: 16:17:14,CNBC,"tech, stocks, trump, play, market","4, 4, 4, 3, 3",18,
2026-02-08,Evening: 18:58:49,BBC,"winter, olympics, beat, olympic, city","9, 9, 7, 5, 5",35,
2026-02-08,Evening: 18:58:49,CNBC,"tech, stocks, play, trump, super","4, 4, 3, 3, 3",17,
2026-02-09,Morning: 07:51:45,BBC,"super, bowl, city, victory, team","7, 7, 6, 5, 5",30,
2026-02-09,Morning: 07:51:45,CNBC,"stocks, market, japans, election, stock","4, 3, 3, 3, 3",16,
2026-02-09,Day: 13:07:50,BBC,"super, bowl, win, winter, olympics","11, 10, 8, 6, 6",41,
2026-02-09,Day: 13:07:50,CNBC,"japans, tech, yields, higher, takaichi","4, 3, 3, 3, 3",16,
2026-02-10,Morning: 08:34:53,BBC,"epstein, police, claims, maxwell, dead","10, 5, 5, 5, 5",30,
2026-02-10,Morning: 08:34:53,CNBC,"stocks, stock, market, record, buy","7, 3, 3, 3, 3",19,
2026-02-10,Day: 12:39:15,BBC,"epstein, winter, olympics, maxwell, police","13, 6, 6, 5, 5",35,
2026-02-10,Day: 12:39:15,CNBC,"stocks, sales, shares, market, lower","8, 3, 3, 3, 2",19,
2026-02-11,Evening: 19:49:50,BBC,"epstein, killed, shooting, ice, tottenham","6, 6, 6, 5, 5",28,
2026-02-11,Evening: 19:49:50,CNBC,"jobs, ceo, stock, stocks, biggest","4, 4, 4, 3, 3",18,
2026-02-12,Morning: 08:49:18,BBC,"shooting, school, canada, epstein, fear","7, 6, 5, 5, 5",28,
2026-02-12,Morning: 08:49:18,CNBC,"stocks, earnings, market, jobs, trump","8, 4, 4, 4, 3",23,
